Hole Depth: ft,Flow In: gal/min,GCT IN Mud Temp: F,GCT OUT Mud Temp: F,Mud Density In: lb/ft3,Mud Density Out: lb/ft3,ROP Average: ft/hr,RPM:,Torque LAS:,WOB: Klb,Standpipe Pressure: psi,QC Delta Carbon Dioxide: ppm
6979,1311.1162223279,174.92,183.2,-999.25,74.0000000078,6.8086,65.822731574,-999.25,43.0131,3527.0239190432,304.3228699999
6980,1310.458782915,175.1,183.38,-999.25,74.0000000078,6.6653,65.4189885396,-999.25,43.2876,3529.7838086477,365.39346
6981,1309.6171934619,175.46,182.12,-999.25,74.0000000078,6.1971,67.254757649,-999.25,40.1093,3560.7175712972,385.60182
6982,1305.4545113799,175.64,182.66,-999.25,74.0000000078,5.9148,68.9265061508,-999.25,43.0131,3622.470101196,437.2742599992
6983,1309.1875157939,175.28,182.66,-999.25,74.0000000078,6.3874,63.9617285249,-999.25,43.3736,3574.1720331187,56.7740500001
6984,1310.4879431157,175.64,182.48,-999.25,74.0000000078,6.1325,64.2329933761,-999.25,48.6517,3543.9282428703,109.0496
6985,1304.8241413755,176.54,183.38,-999.25,74.0000000078,6.3762,63.9617285249,-999.25,45.8247,3662.48850046,137.3185499999
6986,1312.7699090126,173.12,182.84,-999.25,74.0000000078,6.0159,67.8982,-999.25,43.2228,3575.5519779209,40.50189
6987,1317.1891991508,172.22,182.84,-999.25,74.0000000078,6.5419,63.7031,-999.25,40.1093,3585.6715731371,97.1347200001
6988,1318.4932593489,171.5,181.4,-999.25,74.0000000078,7.7138,49.5468405005,-999.25,42.9807,3610.6818751084,158.45221
6989,1318.6574196347,173.12,181.76,-999.25,74.0000000078,7.1043,60.3028072758,-999.25,40.1093,3626.8665343635,321.60626
6990,1317.8429271209,174.02,182.12,-999.25,74.0000000078,7.5206,49.4648301966,-999.25,43.0131,3652.7619891717,317.7493299998
6991,1312.1160159339,175.1,183.92,-999.25,74.0000000078,6.6042,68.9643570602,-999.25,43.5742,3750.3324,118.5434000001
6992,1312.7532155722,175.28,184.28,-999.25,74.0000000078,8.0115,68.9202,-999.25,48.74,3750.3324,15.51212
6993,1315.2895670465,175.46,183.74,-999.25,74.0000000078,8.15,68.8634213017,-999.25,47.47,3611.4186851211,14.38172
6994,1316.2931674589,175.82,182.66,-999.25,74.0000000078,7.2235,63.4759751866,-999.25,35.24,3615.5709342561,19.10949
6995,1320.3003030686,175.64,182.3,-999.25,74.0000000078,13.4318,68.333508569,-999.25,34.33,3493.0795847751,43.5144700001
6996,1317.1957800673,175.64,181.76,-999.25,74.0000000078,5.7078,68.049626748,-999.25,24.71,3593.7716262976,481.8139300002
6997,1319.3928794381,175.1,182.12,-999.25,74.0000000078,7.4763,67.3620018925,-999.25,36.76,3642.5605536332,185.74362
6998,1317.8435690226,174.92,182.48,-999.25,74.0000000078,8.0977,68.3650509936,-999.25,43.85,3564.705882353,180.29317
6999,1317.8225177786,175.1,182.48,-999.25,74.0000000078,7.8682,69.2293134266,-999.25,38.49,3547.0588235294,163.4489000001
7000,1316.300526615,175.2278,183.02,-999.25,74.0000000078,7.6973,68.7372516034,-999.25,25.93,3557.4394463668,120.95007
7001,1316.5347171594,170.0816,184.1,-999.25,74.0000000078,8.4084,68.9138891809,-999.25,36.36,3546.0207612457,98.80491
7002,1316.5695439874,172.2362,180.86,-999.25,74.0000000078,7.2657,68.8634213017,-999.25,33.83,3547.0588235294,22.72079
7003,1317.0087384344,173.8418,180.14,-999.25,74.0000000078,7.8211,68.7751025129,-999.25,44.76,3526.2975778547,18.4821
7004,1318.4659683042,174.0146,180.32,-999.25,74.0000000078,6.9497,68.8003364525,-999.25,30.89,3536.6782006921,23.0923099999
7005,1318.8800787046,173.4782,181.04,-999.25,74.0000000078,7.9015,68.3713594785,-999.25,27.95,3526.4013840831,97.2846700001
7006,1319.257936999,173.3054,181.4,-999.25,74.0000000078,7.0605,68.9328146357,-999.25,30.38,3536.7612456748,196.7821
7007,1320.0849606837,173.84,181.94,-999.25,74.0000000078,7.0733,68.9895909999,-999.25,24.9,3541.5328719716,239.25444
7008,1004.637033545,173.84,181.4,-999.25,74.0000000078,3.4724,164.469561535,-999.25,24.9,3199.5,221.2540400001
7009,1016.6443672253,173.84,157.46,-999.25,74.0000000078,6.6778,159.2850933745,-999.25,24.7636,3150.25,460.5680200002
7010,1102.1851965593,173.84,158.54,-999.25,74.0000000078,6.5602,195.7955112401,-999.25,11.3694,3175.05,154.0919000005
7011,1096.9545906805,173.84,158.54,-999.25,74.0000000078,16.5347,194.7807785878,-999.25,22.2304,3179.875,597.73586
7012,1091.6413271403,173.84,158.36,-999.25,74.0000000078,22.3732,194.4931874049,-999.25,25.2096,3167.43,601.52
7013,1092.5307371061,173.84,158.72,-999.25,74.0000000078,43.2503,216.3500638199,-999.25,23.7696,3163.965,617.837
7014,1090.5312542331,173.84,158.9,-999.25,74.0000000078,57.1947,216.186089259,-999.25,28.6567,3160.465,617.99318
7015,1084.9876342448,173.84,159.08,-999.25,74.0000000078,62.7078,201.3079951072,-999.25,26.5972,3156.93,633.455
7016,1087.3472545946,173.84,159.08,-999.25,74.0000000078,67.2138,226.9176443289,-999.25,38.5784,3153.43,633.68432
7017,1089.0928731409,173.84,159.08,-999.25,74.0000000078,53.0059,219.1749953828,-999.25,32.1208,3149.965,644.97164
7018,1090.3023672989,173.84,159.08,-999.25,74.0000000078,34.8844,219.1333690411,-999.25,31.281,3146.57,649.985
7019,1088.6543382557,173.84,158.9,-999.25,74.0000000078,40.0622,218.4103438415,-999.25,34.8674,3150.1,650.26312
7020,1089.2661971614,173.84,158.9,-999.25,74.0000000078,43.0723,217.633454723,-999.25,40.1188,3155.025,663.79175
7021,1086.4750003967,173.84,159.08,-999.25,74.0000000078,39.6524,215.8253161318,-999.25,39.0768,3157.585,653.966
7022,1083.4673740379,173.84,158.9,-999.25,74.0000000078,54.9359,194.0032227081,-999.25,42.349,3161.788,653.9493
7023,1082.8649262296,173.84,158.9,-999.25,74.0000000078,52.5659,195.317579915,-999.25,42.1731,3165.588,652.33827
7024,1082.151656559,173.84,159.08,-999.25,74.0000000078,54.3186,202.509379306,-999.25,34.3615,3169.388,656.523
7025,1094.8231318299,173.84,159.44,-999.25,74.0000000078,72.32,219.4358237059,-999.25,14.8294,3173.226,657.00324
7026,1093.0296903385,173.84,159.44,-999.25,74.0000000078,87.942,219.191903204,-999.25,20.7124,3176.988,680.535
7027,1090.4287529382,173.84,159.62,-999.25,74.0000000078,82.38,218.9103913741,-999.25,24.0508,3180.864,680.535
7028,1089.9588734335,173.84,159.62,-999.25,74.0000000078,86.7462,218.4191603386,-999.25,28.4987,3184.664,681.51033
7029,1092.79917591,173.84,159.8,-999.25,74.0000000078,39.68,218.7576194474,-999.25,35.5802,3188.426,713.046
7030,1090.8379037524,173.84,159.98,-999.25,74.0000000078,36.7418,218.7311855851,-999.25,36.1164,3192.188,712.84926
7031,1091.697042649,173.84,160.16,-999.25,74.0000000078,37.0058,219.2172130061,-999.25,39.7473,3196.064,693.372
7032,1087.6803403531,173.84,160.34,-999.25,74.0000000078,39.7317,214.3511133273,-999.25,40.5986,3199.788,693.19485
7033,1089.0861488431,173.84,160.34,-999.25,74.0000000078,34.9775,216.5497747611,-999.25,37.5022,3203.588,675.20839
7034,1090.9442776412,173.84,160.34,-999.25,74.0000000078,37.997,218.4866311181,-999.25,38.7018,3207.426,630.37498
7035,1090.1949330553,173.84,160.52,-999.25,74.0000000078,52.4802,217.958373917,-999.25,38.3162,3211.188,609.51172
7036,1089.27821878,173.84,160.7,-999.25,74.0000000078,45.5143,218.1018753437,-999.25,39.9079,3214.988,585.93055
7037,1088.5445607516,173.84,160.88,-999.25,74.0000000078,39.9731,218.4462673634,-999.25,38.7475,3186.5957956937,537.772
7038,1089.5246837283,173.84,160.88,-999.25,74.0000000078,37.2696,218.4751875262,-999.25,42.5612,3210,537.2631
7039,1090.3656659273,173.84,161.24,-999.25,74.0000000078,35.2953,218.2585675518,-999.25,47.4815,3199.5,511.90981
7040,1087.7260548573,173.84,161.06,-999.25,74.0000000078,35.8063,217.7448264131,-999.25,43.6204,3150.25,470.608
7041,1091.8970627786,173.84,161.24,-999.25,74.0000000078,34.5746,218.9409062806,-999.25,38.793,3175.1,470.16074
7042,1088.6486687908,173.84,161.24,-999.25,74.0000000078,40.6542,217.8607545101,-999.25,42.8408,3179.875,448.08761
7043,1089.5251335891,173.84,161.42,-999.25,74.0000000078,38.0921,217.8759410614,-999.25,40.9288,3167.465,432.506
7044,1089.964118335,173.84,161.42,-999.25,74.0000000078,37.324,218.5586419006,-999.25,39.8271,3163.965,432.48415
7045,1090.2901445275,173.84,161.6,-999.25,74.0000000078,38.7079,216.5578878091,-999.25,40.4986,3160.465,430.321
7046,1089.5198886876,173.84,161.78,-999.25,74.0000000078,38.429,218.2726807169,-999.25,37.5054,3156.93,430.8910400001
